DateTime;Parking Granollers Renfe plazas totales
05/01/2020 19:30;
05/01/2020 20:00;
05/01/2020 20:30;
05/01/2020 21:00;
05/01/2020 21:30;
05/01/2020 22:00;
05/01/2020 22:30;
05/01/2020 23:00;
05/01/2020 23:30;
06/01/2020 0:00;
06/01/2020 0:30;
06/01/2020 1:00;
06/01/2020 1:30;
06/01/2020 2:00;
06/01/2020 2:30;
06/01/2020 3:00;
06/01/2020 3:30;
06/01/2020 4:00;
06/01/2020 4:30;
06/01/2020 5:00;
06/01/2020 5:30;
06/01/2020 6:00;
06/01/2020 6:30;
06/01/2020 7:00;176
06/01/2020 7:30;176,6032144
06/01/2020 8:00;176,4983267
06/01/2020 8:30;176
06/01/2020 9:00;176
06/01/2020 9:30;176
06/01/2020 10:00;176
06/01/2020 10:30;175,5366539
06/01/2020 11:00;175
06/01/2020 11:30;175
06/01/2020 12:00;175
06/01/2020 12:30;175
06/01/2020 13:00;175,7838256
06/01/2020 13:30;176
06/01/2020 14:00;176,7477622
06/01/2020 14:30;177
06/01/2020 15:00;177
06/01/2020 15:30;177
06/01/2020 16:00;177
06/01/2020 16:30;177,6565094
06/01/2020 17:00;178
06/01/2020 17:30;178
06/01/2020 18:00;177,7784911
06/01/2020 18:30;177
06/01/2020 19:00;177
06/01/2020 19:30;177
06/01/2020 20:00;177
06/01/2020 20:30;177
06/01/2020 21:00;176,3490272
06/01/2020 21:30;176,1929256
06/01/2020 22:00;176
06/01/2020 22:30;176
06/01/2020 23:00;176
06/01/2020 23:30;176
07/01/2020 0:00;176,7105294
07/01/2020 0:30;177
07/01/2020 1:00;177
07/01/2020 1:30;177
07/01/2020 2:00;177
07/01/2020 2:30;177
07/01/2020 3:00;177
07/01/2020 3:30;177
07/01/2020 4:00;177
07/01/2020 4:30;176,3298633
07/01/2020 5:00;176
07/01/2020 5:30;174,3322428
07/01/2020 6:00;169,3212322
07/01/2020 6:30;157,77996
07/01/2020 7:00;137,2776772
07/01/2020 7:30;118,3173783
07/01/2020 8:00;104,7597272
07/01/2020 8:30;91,80112222
07/01/2020 9:00;84,86918222
07/01/2020 9:30;83,14550278
07/01/2020 10:00;82,38812944
07/01/2020 10:30;80,554925
07/01/2020 11:00;79
07/01/2020 11:30;78,52631889
07/01/2020 12:00;75,872
07/01/2020 12:30;75,37491444
07/01/2020 13:00;73,54553444
07/01/2020 13:30;73,08969556
07/01/2020 14:00;71,43071278
07/01/2020 14:30;72,10420333
07/01/2020 15:00;72,02926167
07/01/2020 15:30;72,85907722
07/01/2020 16:00;81,14289444
07/01/2020 16:30;83,45350111
07/01/2020 17:00;88,142215
07/01/2020 17:30;93,74180111
07/01/2020 18:00;105,1692983
07/01/2020 18:30;109,4560967
07/01/2020 19:00;119,2499433
07/01/2020 19:30;128,7300256
07/01/2020 20:00;139,2386206
07/01/2020 20:30;145,7867933
07/01/2020 21:00;152,1375817
07/01/2020 21:30;155,885065
07/01/2020 22:00;157,9148139
07/01/2020 22:30;163,7605494
07/01/2020 23:00;164
07/01/2020 23:30;164,573015
08/01/2020 0:00;165
08/01/2020 0:30;165
08/01/2020 1:00;165
08/01/2020 1:30;165
08/01/2020 2:00;165
08/01/2020 2:30;165
08/01/2020 3:00;165
08/01/2020 3:30;165
08/01/2020 4:00;165
08/01/2020 4:30;164,3412056
08/01/2020 5:00;163,0867511
08/01/2020 5:30;161,7918056
08/01/2020 6:00;157,5477861
08/01/2020 6:30;142,1276894
08/01/2020 7:00;114,9140267
08/01/2020 7:30;87,59763056
08/01/2020 8:00;71,69986667
08/01/2020 8:30;59,25040333
08/01/2020 9:00;45,01296778
08/01/2020 9:30;43,54862222
08/01/2020 10:00;42,85497833
08/01/2020 10:30;41,19388722
08/01/2020 11:00;41
08/01/2020 11:30;40,82739778
08/01/2020 12:00;40,28212556
08/01/2020 12:30;40
08/01/2020 13:00;39,65034333
08/01/2020 13:30;40,64858556
08/01/2020 14:00;41,72361556
08/01/2020 14:30;42,86438556
08/01/2020 15:00;44,99480889
08/01/2020 15:30;55,48852056
08/01/2020 16:00;67,99158889
08/01/2020 16:30;70,71976944
08/01/2020 17:00;76,04368722
08/01/2020 17:30;81,97143
08/01/2020 18:00;91,416335
08/01/2020 18:30;99,10719056
08/01/2020 19:00;110,160135
08/01/2020 19:30;125,329655
08/01/2020 20:00;142,1191356
08/01/2020 20:30;146,9125833
08/01/2020 21:00;151,3028194
08/01/2020 21:30;160,14655
08/01/2020 22:00;163,6398672
08/01/2020 22:30;163,5635294
08/01/2020 23:00;164
08/01/2020 23:30;164
09/01/2020 0:00;164
09/01/2020 0:30;164,1711422
09/01/2020 1:00;165
09/01/2020 1:30;165
09/01/2020 2:00;165
09/01/2020 2:30;165
09/01/2020 3:00;165
09/01/2020 3:30;165
09/01/2020 4:00;165
09/01/2020 4:30;164,1485989
09/01/2020 5:00;163
09/01/2020 5:30;161,6679744
09/01/2020 6:00;155,5717717
09/01/2020 6:30;138,59059
09/01/2020 7:00;115,49281
09/01/2020 7:30;88,06632611
09/01/2020 8:00;68,94896333
09/01/2020 8:30;55,29986389
09/01/2020 9:00;48,28042444
09/01/2020 9:30;45,96396889
09/01/2020 10:00;44,50539944
09/01/2020 10:30;43,47197778
09/01/2020 11:00;42
09/01/2020 11:30;40,69129167
09/01/2020 12:00;39
09/01/2020 12:30;38,72010278
09/01/2020 13:00;36,19536111
09/01/2020 13:30;36,66616556
09/01/2020 14:00;37,88078278
09/01/2020 14:30;37,47229333
09/01/2020 15:00;38,904975
09/01/2020 15:30;46,18979222
09/01/2020 16:00;59,02920944
09/01/2020 16:30;64,53959222
09/01/2020 17:00;68,62913889
09/01/2020 17:30;72,25650667
09/01/2020 18:00;86,29080944
09/01/2020 18:30;95,705195
09/01/2020 19:00;106,22954
09/01/2020 19:30;123,35608
09/01/2020 20:00;139,6773972
09/01/2020 20:30;146,6216644
09/01/2020 21:00;153,4551228
09/01/2020 21:30;158,1604817
09/01/2020 22:00;161,2112028
09/01/2020 22:30;163,7320644
09/01/2020 23:00;164,8153239
09/01/2020 23:30;165
10/01/2020 0:00;165
10/01/2020 0:30;165
10/01/2020 1:00;165
10/01/2020 1:30;165
10/01/2020 2:00;165
10/01/2020 2:30;165
10/01/2020 3:00;165
10/01/2020 3:30;165
10/01/2020 4:00;165
10/01/2020 4:30;163,9751428
10/01/2020 5:00;163
10/01/2020 5:30;161,0295683
10/01/2020 6:00;154,24693
10/01/2020 6:30;141,1393561
10/01/2020 7:00;115,4138617
10/01/2020 7:30;95,85723333
10/01/2020 8:00;73,99509444
10/01/2020 8:30;60,58551889
10/01/2020 9:00;52,82691111
10/01/2020 9:30;50
10/01/2020 10:00;49,08733778
10/01/2020 10:30;47,50992944
10/01/2020 11:00;46
10/01/2020 11:30;45,56945833
10/01/2020 12:00;44,63576833
10/01/2020 12:30;45,43219389
10/01/2020 13:00;44,89448111
10/01/2020 13:30;46,51794111
10/01/2020 14:00;48,73978
10/01/2020 14:30;50,52048222
10/01/2020 15:00;55,37924778
10/01/2020 15:30;71,11961944
10/01/2020 16:00;94,93816278
10/01/2020 16:30;101,7549644
10/01/2020 17:00;107,49875
10/01/2020 17:30;115,4772256
10/01/2020 18:00;129,8487694
10/01/2020 18:30;132,3579528
10/01/2020 19:00;138,1822939
10/01/2020 19:30;146,0056578
10/01/2020 20:00;153,8414422
10/01/2020 20:30;160,5540656
10/01/2020 21:00;163,7125589
10/01/2020 21:30;164,5275417
10/01/2020 22:00;166,7815389
10/01/2020 22:30;168,4755967
10/01/2020 23:00;170
10/01/2020 23:30;170,3799983
11/01/2020 0:00;171,5908839
11/01/2020 0:30;172
11/01/2020 1:00;172
11/01/2020 1:30;172
11/01/2020 2:00;172
11/01/2020 2:30;172
11/01/2020 3:00;172
11/01/2020 3:30;172
11/01/2020 4:00;172
11/01/2020 4:30;171,7882517
11/01/2020 5:00;171
11/01/2020 5:30;170,6084717
11/01/2020 6:00;170
11/01/2020 6:30;170
11/01/2020 7:00;169,5748239
11/01/2020 7:30;169,0004956
11/01/2020 8:00;167,1229189
11/01/2020 8:30;166,8104306
11/01/2020 9:00;164,8351067
11/01/2020 9:30;163,7509428
11/01/2020 10:00;162,7755244
11/01/2020 10:30;160,4154306
11/01/2020 11:00;160
11/01/2020 11:30;159,7826172
11/01/2020 12:00;159,2241994
11/01/2020 12:30;158,8316967
11/01/2020 13:00;157,9582094
11/01/2020 13:30;157,7562039
11/01/2020 14:00;156,4879406
11/01/2020 14:30;156,3894439
11/01/2020 15:00;157,8131122
11/01/2020 15:30;159,5027611
11/01/2020 16:00;159,8579222
11/01/2020 16:30;160,7367017
11/01/2020 17:00;162
11/01/2020 17:30;161,2099989
11/01/2020 18:00;161
11/01/2020 18:30;161
11/01/2020 19:00;162,1163667
11/01/2020 19:30;164,0341322
11/01/2020 20:00;165,4656578
11/01/2020 20:30;166,4388722
11/01/2020 21:00;166,2538406
