DateTime;Parking Quatre Camins plazas totales
04/01/2020 14:00;81,37481833
04/01/2020 14:30;85,60090333
04/01/2020 15:00;86,28708
04/01/2020 15:30;84,72399556
04/01/2020 16:00;86,12853167
04/01/2020 16:30;87,31820944
04/01/2020 17:00;84,88949278
04/01/2020 17:30;80,7182
04/01/2020 18:00;76,50308556
04/01/2020 18:30;73,56084389
04/01/2020 19:00;72,29961889
04/01/2020 19:30;70,38356833
04/01/2020 20:00;67,78273611
04/01/2020 20:30;67,95791889
04/01/2020 21:00;69,84448944
04/01/2020 21:30;75,13601111
04/01/2020 22:00;80,39200833
04/01/2020 22:30;89,21440444
04/01/2020 23:00;93,08215444
04/01/2020 23:30;101,4167778
05/01/2020 0:00;105,4246567
05/01/2020 0:30;106,9767783
05/01/2020 1:00;107
05/01/2020 1:30;106,678195
05/01/2020 2:00;107
05/01/2020 2:30;106,9659722
05/01/2020 3:00;107,8087317
05/01/2020 3:30;108
05/01/2020 4:00;108
05/01/2020 4:30;108
05/01/2020 5:00;108
05/01/2020 5:30;108
05/01/2020 6:00;108
05/01/2020 6:30;107,6456078
05/01/2020 7:00;107,8900367
05/01/2020 7:30;106,0235272
05/01/2020 8:00;106,8593433
05/01/2020 8:30;106,7340622
05/01/2020 9:00;106,6253639
05/01/2020 9:30;106,6934833
05/01/2020 10:00;106,3205961
05/01/2020 10:30;102,6679306
05/01/2020 11:00;100,6742206
05/01/2020 11:30;100,9107233
05/01/2020 12:00;99,18986
05/01/2020 12:30;96,31662556
05/01/2020 13:00;95,89078111
05/01/2020 13:30;96,57349556
05/01/2020 14:00;96,37873611
05/01/2020 14:30;98,77757778
05/01/2020 15:00;98,07635222
05/01/2020 15:30;97,72536111
05/01/2020 16:00;96,53910333
05/01/2020 16:30;94,56800833
05/01/2020 17:00;93,09621222
05/01/2020 17:30;93,86291444
05/01/2020 18:00;92,12741222
05/01/2020 18:30;90,75270278
05/01/2020 19:00;90,396435
05/01/2020 19:30;89,56660667
05/01/2020 20:00;91,93437611
05/01/2020 20:30;92,73696611
05/01/2020 21:00;92,205935
05/01/2020 21:30;92,60832278
05/01/2020 22:00;94,24747278
05/01/2020 22:30;99,22298778
05/01/2020 23:00;100,8143733
05/01/2020 23:30;103,8833139
06/01/2020 0:00;106,8394983
06/01/2020 0:30;107,8045678
06/01/2020 1:00;108
06/01/2020 1:30;108
06/01/2020 2:00;108
06/01/2020 2:30;108
06/01/2020 3:00;108
06/01/2020 3:30;107,9473678
06/01/2020 4:00;108
06/01/2020 4:30;107,9755428
06/01/2020 5:00;107,5449211
06/01/2020 5:30;107
06/01/2020 6:00;107,1001072
06/01/2020 6:30;108
06/01/2020 7:00;156,9087828
06/01/2020 7:30;156,9101633
06/01/2020 8:00;157,6524283
06/01/2020 8:30;157,9414022
06/01/2020 9:00;157,5146744
06/01/2020 9:30;156,8408878
06/01/2020 10:00;156,9111167
06/01/2020 10:30;156,4504189
06/01/2020 11:00;155,5403572
06/01/2020 11:30;154,7368011
06/01/2020 12:00;154,3399639
06/01/2020 12:30;153,7358794
06/01/2020 13:00;149,3033206
06/01/2020 13:30;148,9303517
06/01/2020 14:00;148,3836639
06/01/2020 14:30;148,6176467
06/01/2020 15:00;148,4089133
06/01/2020 15:30;147,8116583
06/01/2020 16:00;146,6739028
06/01/2020 16:30;146,8642328
06/01/2020 17:00;145,1531733
06/01/2020 17:30;143,2629317
06/01/2020 18:00;141,69761
06/01/2020 18:30;141,3546989
06/01/2020 19:00;143,3492533
06/01/2020 19:30;148,8510161
06/01/2020 20:00;150,6932828
06/01/2020 20:30;151,813715
06/01/2020 21:00;152,6347422
06/01/2020 21:30;152,9717989
06/01/2020 22:00;153,0326
06/01/2020 22:30;154,431795
06/01/2020 23:00;155,9663467
06/01/2020 23:30;157,6403106
07/01/2020 0:00;158
07/01/2020 0:30;158
07/01/2020 1:00;158
07/01/2020 1:30;158
07/01/2020 2:00;158
07/01/2020 2:30;158
07/01/2020 3:00;158
07/01/2020 3:30;158
07/01/2020 4:00;158
07/01/2020 4:30;158
07/01/2020 5:00;157,7425194
07/01/2020 5:30;155,6833
07/01/2020 6:00;152,8131589
07/01/2020 6:30;145,7743672
07/01/2020 7:00;115,5179611
07/01/2020 7:30;88,91493
07/01/2020 8:00;64,13141444
07/01/2020 8:30;46,91329833
07/01/2020 9:00;40,22874
07/01/2020 9:30;36,75818167
07/01/2020 10:00;32,45961667
07/01/2020 10:30;30,14327611
07/01/2020 11:00;28,34202889
07/01/2020 11:30;29,15541278
07/01/2020 12:00;29,26784722
07/01/2020 12:30;29,19434111
07/01/2020 13:00;28,84726389
07/01/2020 13:30;28,88420389
07/01/2020 14:00;30,22702389
07/01/2020 14:30;29,98146889
07/01/2020 15:00;39,02272111
07/01/2020 15:30;45,84967944
07/01/2020 16:00;53,678545
07/01/2020 16:30;57,16601611
07/01/2020 17:00;60,37458389
07/01/2020 17:30;62,79455222
07/01/2020 18:00;72,12258167
07/01/2020 18:30;88,25993611
07/01/2020 19:00;104,2114933
07/01/2020 19:30;117,8681789
07/01/2020 20:00;126,8649628
07/01/2020 20:30;136,7246572
07/01/2020 21:00;140,7599883
07/01/2020 21:30;144,1422617
07/01/2020 22:00;149,6238889
07/01/2020 22:30;149,96586
07/01/2020 23:00;148,2884133
07/01/2020 23:30;150,7189267
08/01/2020 0:00;152,8578483
08/01/2020 0:30;152,9691878
08/01/2020 1:00;153
08/01/2020 1:30;153
08/01/2020 2:00;153
08/01/2020 2:30;153
08/01/2020 3:00;153
08/01/2020 3:30;152,3452206
08/01/2020 4:00;152
08/01/2020 4:30;151,8520206
08/01/2020 5:00;150,0414972
08/01/2020 5:30;148,6040272
08/01/2020 6:00;145,7100356
08/01/2020 6:30;133,6123633
08/01/2020 7:00;98,4636
08/01/2020 7:30;59,07882722
08/01/2020 8:00;22,21407111
08/01/2020 8:30;0,775836111
08/01/2020 9:00;0
08/01/2020 9:30;0
08/01/2020 10:00;0
08/01/2020 10:30;0
08/01/2020 11:00;0
08/01/2020 11:30;0
08/01/2020 12:00;0
08/01/2020 12:30;0
08/01/2020 13:00;0
08/01/2020 13:30;0
08/01/2020 14:00;0
08/01/2020 14:30;0
08/01/2020 15:00;0
08/01/2020 15:30;0,025148889
08/01/2020 16:00;10,93845167
08/01/2020 16:30;18,26587056
08/01/2020 17:00;16,54946444
08/01/2020 17:30;15,98049778
08/01/2020 18:00;33,86236944
08/01/2020 18:30;52,04621222
08/01/2020 19:00;74,83564889
08/01/2020 19:30;86,99361778
08/01/2020 20:00;101,2534267
08/01/2020 20:30;111,3535628
08/01/2020 21:00;122,7411006
08/01/2020 21:30;130,8211189
08/01/2020 22:00;138,1638744
08/01/2020 22:30;141,9645061
08/01/2020 23:00;144,9725428
08/01/2020 23:30;145,9277661
09/01/2020 0:00;148,5153372
09/01/2020 0:30;149
09/01/2020 1:00;149
09/01/2020 1:30;149
09/01/2020 2:00;149
09/01/2020 2:30;149
09/01/2020 3:00;149
09/01/2020 3:30;149
09/01/2020 4:00;148,9816067
09/01/2020 4:30;148,7435189
09/01/2020 5:00;147,8406433
09/01/2020 5:30;145,56184
09/01/2020 6:00;141,7484239
09/01/2020 6:30;130,7646206
09/01/2020 7:00;96,94196333
09/01/2020 7:30;64,04992833
09/01/2020 8:00;30,68169611
09/01/2020 8:30;7,434967778
09/01/2020 9:00;0
09/01/2020 9:30;0
09/01/2020 10:00;0
09/01/2020 10:30;0
09/01/2020 11:00;0
09/01/2020 11:30;0
09/01/2020 12:00;0
09/01/2020 12:30;0
09/01/2020 13:00;0
09/01/2020 13:30;0
09/01/2020 14:00;0
09/01/2020 14:30;0
09/01/2020 15:00;0
09/01/2020 15:30;0,746361111
09/01/2020 16:00;8,955653889
09/01/2020 16:30;13,010325
09/01/2020 17:00;20,74189889
09/01/2020 17:30;24,48135722
09/01/2020 18:00;36,215125
09/01/2020 18:30;53,73945056
09/01/2020 19:00;77,19525833
09/01/2020 19:30;89,566455
09/01/2020 20:00;107,9724189
09/01/2020 20:30;116,4578922
09/01/2020 21:00;128,3777378
09/01/2020 21:30;135,1794556
09/01/2020 22:00;139,1833883
09/01/2020 22:30;141,7088672
09/01/2020 23:00;145,5616528
09/01/2020 23:30;147,3973339
10/01/2020 0:00;149,6127894
10/01/2020 0:30;150
10/01/2020 1:00;150
10/01/2020 1:30;150
10/01/2020 2:00;150
10/01/2020 2:30;150
10/01/2020 3:00;150
10/01/2020 3:30;150
10/01/2020 4:00;149,23008
10/01/2020 4:30;148,8779272
10/01/2020 5:00;147,9301056
10/01/2020 5:30;145,5376333
10/01/2020 6:00;142,204345
10/01/2020 6:30;132,4481828
10/01/2020 7:00;105,72253
10/01/2020 7:30;75,35345833
10/01/2020 8:00;31,85518389
10/01/2020 8:30;6,582993889
10/01/2020 9:00;0
10/01/2020 9:30;0
10/01/2020 10:00;0
10/01/2020 10:30;0
10/01/2020 11:00;0
10/01/2020 11:30;0
10/01/2020 12:00;0
10/01/2020 12:30;0
10/01/2020 13:00;0
10/01/2020 13:30;0
10/01/2020 14:00;0
10/01/2020 14:30;0
10/01/2020 15:00;0,660132222
10/01/2020 15:30;13,28738333
10/01/2020 16:00;38,99828611
10/01/2020 16:30;51,16370556
10/01/2020 17:00;54,76829611
10/01/2020 17:30;62,50779056
10/01/2020 18:00;73,98517778
10/01/2020 18:30;82,73141611
10/01/2020 19:00;96,27748944
10/01/2020 19:30;104,2358033
10/01/2020 20:00;116,251985
10/01/2020 20:30;118,9834622
10/01/2020 21:00;123,9028717
10/01/2020 21:30;131,7062244
10/01/2020 22:00;135,2041744
10/01/2020 22:30;139,556085
10/01/2020 23:00;143,2088072
10/01/2020 23:30;145,2099306
11/01/2020 0:00;146,7916739
11/01/2020 0:30;148,7930333
11/01/2020 1:00;149,536485
11/01/2020 1:30;150
11/01/2020 2:00;150
11/01/2020 2:30;150
11/01/2020 3:00;150
11/01/2020 3:30;150
11/01/2020 4:00;149,8372122
11/01/2020 4:30;150
11/01/2020 5:00;149,0920806
11/01/2020 5:30;148,9664228
11/01/2020 6:00;148,4338656
11/01/2020 6:30;146,1255244
11/01/2020 7:00;144,441175
11/01/2020 7:30;143,9026178
11/01/2020 8:00;142,5208328
11/01/2020 8:30;141,90517
11/01/2020 9:00;139,9826039
11/01/2020 9:30;139,3309939
11/01/2020 10:00;135,2898783
11/01/2020 10:30;132,1913961
11/01/2020 11:00;130,5164006
11/01/2020 11:30;127,5799117
11/01/2020 12:00;127,1333794
11/01/2020 12:30;124,7813328
11/01/2020 13:00;127,268765
11/01/2020 13:30;128,6981128
11/01/2020 14:00;129,9388861
11/01/2020 14:30;129,5757839
11/01/2020 15:00;132,12061
11/01/2020 15:30;131,9588578
11/01/2020 16:00;131,22399
11/01/2020 16:30;129,9871611
11/01/2020 17:00;129,0276733
11/01/2020 17:30;126,0564606
11/01/2020 18:00;126,9650717
11/01/2020 18:30;130,7297356
11/01/2020 19:00;133,6092661
11/01/2020 19:30;135,51551
11/01/2020 20:00;138,8902578
11/01/2020 20:30;139,5099528
11/01/2020 21:00;141,3891156
11/01/2020 21:30;142,8748411
11/01/2020 22:00;145,720655
11/01/2020 22:30;146,4637739
11/01/2020 23:00;149,617685
11/01/2020 23:30;150,5634528
12/01/2020 0:00;150,9814717
12/01/2020 0:30;150,2174894
12/01/2020 1:00;150,9482328
12/01/2020 1:30;151
12/01/2020 2:00;151
12/01/2020 2:30;151
12/01/2020 3:00;151
12/01/2020 3:30;150,9193222
12/01/2020 4:00;150
12/01/2020 4:30;150,0612717
12/01/2020 5:00;150,5207878
12/01/2020 5:30;149,98053
12/01/2020 6:00;150
12/01/2020 6:30;150,2811911
12/01/2020 7:00;151
12/01/2020 7:30;150,9625428
12/01/2020 8:00;150,059635
12/01/2020 8:30;149,7496817
12/01/2020 9:00;149,5799278
12/01/2020 9:30;148,0482906
12/01/2020 10:00;146,9155917
12/01/2020 10:30;145,6652372
12/01/2020 11:00;146
12/01/2020 11:30;145,5862533
12/01/2020 12:00;143,871065
12/01/2020 12:30;143,9285928
12/01/2020 13:00;143,0684394
12/01/2020 13:30;141,9961622
12/01/2020 14:00;143,3343667
12/01/2020 14:30;143,8837189
12/01/2020 15:00;143,8797994
12/01/2020 15:30;144,8148989
12/01/2020 16:00;143,9165256
12/01/2020 16:30;143,4365856
12/01/2020 17:00;142,3897594
12/01/2020 17:30;142,6053228
12/01/2020 18:00;141,3785
12/01/2020 18:30;146,1654194
12/01/2020 19:00;147,4894417
12/01/2020 19:30;147,7790656
12/01/2020 20:00;148,9818456
12/01/2020 20:30;148,9910983
12/01/2020 21:00;149,8339672
12/01/2020 21:30;150,6597789
12/01/2020 22:00;150,1220322
12/01/2020 22:30;151,6469006
12/01/2020 23:00;150,52035
12/01/2020 23:30;151,8847406
13/01/2020 0:00;153
13/01/2020 0:30;153
13/01/2020 1:00;153
13/01/2020 1:30;153
13/01/2020 2:00;152,7817767
13/01/2020 2:30;152
13/01/2020 3:00;152
13/01/2020 3:30;151,9503206
13/01/2020 4:00;152,06623
13/01/2020 4:30;152,8008822
13/01/2020 5:00;151,0247583
13/01/2020 5:30;149,5100272
13/01/2020 6:00;145,0531611
13/01/2020 6:30;138,7765794
13/01/2020 7:00;117,5799667
