DateTime;Parking Prat del Ll. plazas totales
05/01/2020 8:00;462
05/01/2020 8:30;462
05/01/2020 9:00;462
05/01/2020 9:30;462
05/01/2020 10:00;462
05/01/2020 10:30;462
05/01/2020 11:00;462
05/01/2020 11:30;462
05/01/2020 12:00;462
05/01/2020 12:30;462
05/01/2020 13:00;462
05/01/2020 13:30;462
05/01/2020 14:00;462
05/01/2020 14:30;462
05/01/2020 15:00;462
05/01/2020 15:30;462
05/01/2020 16:00;462
05/01/2020 16:30;462
05/01/2020 17:00;462
05/01/2020 17:30;462
05/01/2020 18:00;462
05/01/2020 18:30;462
05/01/2020 19:00;462
05/01/2020 19:30;462
05/01/2020 20:00;462
05/01/2020 20:30;462
05/01/2020 21:00;462
05/01/2020 21:30;462
05/01/2020 22:00;462
05/01/2020 22:30;462
05/01/2020 23:00;462
05/01/2020 23:30;462
06/01/2020 0:00;462
06/01/2020 0:30;462
06/01/2020 1:00;462
06/01/2020 1:30;462
06/01/2020 2:00;462
06/01/2020 2:30;462
06/01/2020 3:00;462
06/01/2020 3:30;462
06/01/2020 4:00;462
06/01/2020 4:30;462
06/01/2020 5:00;462
06/01/2020 5:30;462
06/01/2020 6:00;462
06/01/2020 6:30;462
06/01/2020 7:00;461,8275178
06/01/2020 7:30;462
06/01/2020 8:00;461,7743983
06/01/2020 8:30;462
06/01/2020 9:00;461,7398822
06/01/2020 9:30;462
06/01/2020 10:00;462
06/01/2020 10:30;462
06/01/2020 11:00;462
06/01/2020 11:30;462
06/01/2020 12:00;462
06/01/2020 12:30;461,8983122
06/01/2020 13:00;458,6740972
06/01/2020 13:30;461,3983583
06/01/2020 14:00;461,3755694
06/01/2020 14:30;462
06/01/2020 15:00;462
06/01/2020 15:30;462
06/01/2020 16:00;462
06/01/2020 16:30;462
06/01/2020 17:00;462
06/01/2020 17:30;462
06/01/2020 18:00;462
06/01/2020 18:30;462
06/01/2020 19:00;462
06/01/2020 19:30;462
06/01/2020 20:00;462
06/01/2020 20:30;462
06/01/2020 21:00;462
06/01/2020 21:30;462
06/01/2020 22:00;462
06/01/2020 22:30;462
06/01/2020 23:00;462
06/01/2020 23:30;462
07/01/2020 0:00;462
07/01/2020 0:30;462
07/01/2020 1:00;462
07/01/2020 1:30;462
07/01/2020 2:00;462
07/01/2020 2:30;462
07/01/2020 3:00;462
07/01/2020 3:30;462
07/01/2020 4:00;462
07/01/2020 4:30;462
07/01/2020 5:00;462
07/01/2020 5:30;462
07/01/2020 6:00;462
07/01/2020 6:30;462
07/01/2020 7:00;461,5704356
07/01/2020 7:30;446,7259828
07/01/2020 8:00;415,8902839
07/01/2020 8:30;394,8320122
07/01/2020 9:00;385,6818622
07/01/2020 9:30;256,9256656
07/01/2020 10:00;93,10487167
07/01/2020 10:30;95,96132389
07/01/2020 11:00;98,66476167
07/01/2020 11:30;100,1725789
07/01/2020 12:00;106,6239128
07/01/2020 12:30;109,7184161
07/01/2020 13:00;116,5868789
07/01/2020 13:30;118,455515
07/01/2020 14:00;122,1162167
07/01/2020 14:30;131,3590117
07/01/2020 15:00;138,2195489
07/01/2020 15:30;149,71787
07/01/2020 16:00;160,3855733
07/01/2020 16:30;162,3906994
07/01/2020 17:00;160,149585
07/01/2020 17:30;162,80096
07/01/2020 18:00;177,9180406
07/01/2020 18:30;199,9677611
07/01/2020 19:00;221,85069
07/01/2020 19:30;236,6124511
07/01/2020 20:00;250,8173539
07/01/2020 20:30;258,9995944
07/01/2020 21:00;277,7654083
07/01/2020 21:30;295,1245794
07/01/2020 22:00;306,1882956
07/01/2020 22:30;309,6101644
07/01/2020 23:00;312
07/01/2020 23:30;311,2683144
08/01/2020 0:00;313,0601672
08/01/2020 0:30;316,976855
08/01/2020 1:00;320,2223239
08/01/2020 1:30;320,931585
08/01/2020 2:00;320,9339617
08/01/2020 2:30;321,8783567
08/01/2020 3:00;322
08/01/2020 3:30;321,8099444
08/01/2020 4:00;321,776525
08/01/2020 4:30;317,0557044
08/01/2020 5:00;309,2891489
08/01/2020 5:30;303,1829978
08/01/2020 6:00;304,1965378
08/01/2020 6:30;295,8652578
08/01/2020 7:00;273,7373744
08/01/2020 7:30;251,8868444
08/01/2020 8:00;225,1148756
08/01/2020 8:30;192,8741867
08/01/2020 9:00;167,9218744
08/01/2020 9:30;158,3520867
08/01/2020 10:00;153,9154522
08/01/2020 10:30;150,5185444
08/01/2020 11:00;153,0582022
08/01/2020 11:30;151,0427906
08/01/2020 12:00;150,6637589
08/01/2020 12:30;155,4357933
08/01/2020 13:00;159,9445278
08/01/2020 13:30;157,6951706
08/01/2020 14:00;163,8428711
08/01/2020 14:30;180,2801589
08/01/2020 15:00;180,3481117
08/01/2020 15:30;188,4516261
08/01/2020 16:00;199,4323511
08/01/2020 16:30;202,1111983
08/01/2020 17:00;207,3501733
08/01/2020 17:30;212,7537139
08/01/2020 18:00;219,8249444
08/01/2020 18:30;243,2052706
08/01/2020 19:00;267,6922
08/01/2020 19:30;290,0603717
08/01/2020 20:00;310,0666933
08/01/2020 20:30;317,3683483
08/01/2020 21:00;334,4749989
08/01/2020 21:30;348,4383683
08/01/2020 22:00;359,2974083
08/01/2020 22:30;368,6519078
08/01/2020 23:00;372,6972133
08/01/2020 23:30;375,7769122
09/01/2020 0:00;376,1959683
09/01/2020 0:30;377,20616
09/01/2020 1:00;380,0008317
09/01/2020 1:30;379,56028
09/01/2020 2:00;380,7459472
09/01/2020 2:30;382,1821794
09/01/2020 3:00;382,9196539
09/01/2020 3:30;383,2074756
09/01/2020 4:00;384,1334794
09/01/2020 4:30;381,8185617
09/01/2020 5:00;378,8973533
09/01/2020 5:30;374,400135
09/01/2020 6:00;370,9477894
09/01/2020 6:30;362,5877878
09/01/2020 7:00;345,46851
09/01/2020 7:30;323,1087261
09/01/2020 8:00;294,8952217
09/01/2020 8:30;261,5293389
09/01/2020 9:00;240,4923106
09/01/2020 9:30;230,1398783
