DateTime;Parking Vilanova Renfe plazas totales
04/01/2020 10:30;376,4625065
04/01/2020 11:00;371,6908247
04/01/2020 11:30;369,738432
04/01/2020 12:00;369,8619705
04/01/2020 12:30;362,1408436
04/01/2020 13:00;358,5023896
04/01/2020 13:30;368,1531156
04/01/2020 14:00;375,7282147
04/01/2020 14:30;382,2558133
04/01/2020 15:00;384,2666445
04/01/2020 15:30;385,0550664
04/01/2020 16:00;383,808544
04/01/2020 16:30;385,6956491
04/01/2020 17:00;386,2383037
04/01/2020 17:30;383,4600944
04/01/2020 18:00;380,2907883
04/01/2020 18:30;374,8919525
04/01/2020 19:00;373,2267467
04/01/2020 19:30;375,237162
04/01/2020 20:00;371,6294097
04/01/2020 20:30;377,0183161
04/01/2020 21:00;383,601698
04/01/2020 21:30;387,3901697
04/01/2020 22:00;390,6883333
04/01/2020 22:30;393,4483613
04/01/2020 23:00;394,2967224
04/01/2020 23:30;396,2639363
05/01/2020 0:00;399,596147
05/01/2020 0:30;403,5412141
05/01/2020 1:00;406,9308
05/01/2020 1:30;406,9308
05/01/2020 2:00;406,9308
05/01/2020 2:30;406,9308
05/01/2020 3:00;406,8609994
05/01/2020 3:30;406,8964
05/01/2020 4:00;407,637994
05/01/2020 4:30;404,6456218
05/01/2020 5:00;403,8066056
05/01/2020 5:30;403,1150116
05/01/2020 6:00;399,2224624
05/01/2020 6:30;399,0708086
05/01/2020 7:00;400,7612295
05/01/2020 7:30;398,3675499
05/01/2020 8:00;396,4850551
05/01/2020 8:30;397,4664
05/01/2020 9:00;397,9097891
05/01/2020 9:30;398,2470196
05/01/2020 10:00;396,2508254
05/01/2020 10:30;393,3377867
05/01/2020 11:00;391,7332365
05/01/2020 11:30;389,6064008
05/01/2020 12:00;385,2543068
05/01/2020 12:30;386,7974753
05/01/2020 13:00;386,4779468
05/01/2020 13:30;387,8861054
05/01/2020 14:00;386,1467827
05/01/2020 14:30;386,9005191
05/01/2020 15:00;385,3932455
05/01/2020 15:30;383,9229592
05/01/2020 16:00;382,1710193
05/01/2020 16:30;384,3973539
05/01/2020 17:00;380,8596682
05/01/2020 17:30;376,2541492
05/01/2020 18:00;373,3663417
05/01/2020 18:30;370,1298702
05/01/2020 19:00;367,4514415
05/01/2020 19:30;370,4208578
05/01/2020 20:00;375,9257897
05/01/2020 20:30;381,1992987
05/01/2020 21:00;385,1232146
05/01/2020 21:30;387,4071423
05/01/2020 22:00;389,3627868
05/01/2020 22:30;391,1127906
