DateTime;Cerdanyola Universitat Renfe plazas totales
04/01/2020 11:00;59,79972565
04/01/2020 11:30;59,0776622
04/01/2020 12:00;59,79130464
04/01/2020 12:30;62,43031792
04/01/2020 13:00;63,09622747
04/01/2020 13:30;63,33922877
04/01/2020 14:00;63,44728284
04/01/2020 14:30;63,63105171
04/01/2020 15:00;63,57026397
04/01/2020 15:30;63,86682367
04/01/2020 16:00;64,37143368
04/01/2020 16:30;62,95724887
04/01/2020 17:00;64,0735125
04/01/2020 17:30;65,02504203
04/01/2020 18:00;64,29968983
04/01/2020 18:30;67,00656951
04/01/2020 19:00;67,84390115
04/01/2020 19:30;66,39969289
04/01/2020 20:00;65,74603828
04/01/2020 20:30;70,0524445
04/01/2020 21:00;71,57845408
04/01/2020 21:30;72,76419057
04/01/2020 22:00;76,74882457
04/01/2020 22:30;77,90566801
04/01/2020 23:00;77,55438914
04/01/2020 23:30;76,99298274
05/01/2020 0:00;76,11587005
05/01/2020 0:30;73,34770492
05/01/2020 1:00;70,23084712
05/01/2020 1:30;71,31752619
05/01/2020 2:00;71,8436
05/01/2020 2:30;71,97528754
05/01/2020 3:00;72,8358
05/01/2020 3:30;72,10497045
05/01/2020 4:00;72,8202
05/01/2020 4:30;72,11110912
05/01/2020 5:00;72,58550681
05/01/2020 5:30;73,61810202
05/01/2020 6:00;73,7968
05/01/2020 6:30;73,7968
05/01/2020 7:00;73,7968
05/01/2020 7:30;73,7968
05/01/2020 8:00;73,7968
05/01/2020 8:30;73,73926712
05/01/2020 9:00;73,7812
05/01/2020 9:30;73,7121028
05/01/2020 10:00;73,75
05/01/2020 10:30;73,75
05/01/2020 11:00;73,75
05/01/2020 11:30;73,75
05/01/2020 12:00;73,75
05/01/2020 12:30;74,50187476
05/01/2020 13:00;74,34000849
05/01/2020 13:30;74,78001716
05/01/2020 14:00;75,30176136
05/01/2020 14:30;76,87548325
05/01/2020 15:00;80,6254214
05/01/2020 15:30;82,91903367
05/01/2020 16:00;83,40521868
05/01/2020 16:30;82,81277335
05/01/2020 17:00;82,24683924
05/01/2020 17:30;82,63045628
05/01/2020 18:00;81,72175652
05/01/2020 18:30;81,62710028
05/01/2020 19:00;84,02046728
05/01/2020 19:30;84,2586
05/01/2020 20:00;84,72360052
05/01/2020 20:30;85,9205133
05/01/2020 21:00;86,50789134
05/01/2020 21:30;87,1884
05/01/2020 22:00;86,90453185
05/01/2020 22:30;86,1806
05/01/2020 23:00;85,07968988
05/01/2020 23:30;85,1416
06/01/2020 0:00;85,0781254
06/01/2020 0:30;84,10362138
06/01/2020 1:00;85,23366501
06/01/2020 1:30;86,8878217
06/01/2020 2:00;95,87167927
06/01/2020 2:30;97,1159574
06/01/2020 3:00;100,0723355
06/01/2020 3:30;100,7347117
06/01/2020 4:00;101,6814
06/01/2020 4:30;101,6814
06/01/2020 5:00;101,6814
06/01/2020 5:30;100,9308152
06/01/2020 6:00;100,6736
06/01/2020 6:30;100,6736
06/01/2020 7:00;100,6736
06/01/2020 7:30;100,6736
06/01/2020 8:00;100,6736
06/01/2020 8:30;100,6736
06/01/2020 9:00;100,6736
06/01/2020 9:30;100,6736
06/01/2020 10:00;100,6736
06/01/2020 10:30;99,9608431
06/01/2020 11:00;99,29023867
06/01/2020 11:30;96,72379692
06/01/2020 12:00;98,66123283
06/01/2020 12:30;99,4318
06/01/2020 13:00;99,1084149
06/01/2020 13:30;98,49141403
