Location,Gammix_weekday_proto,Gammix_weekend_proto,Gammix_friday_proto,Historical_weekday_proto,Historical_weekend_proto,Historical_friday_proto
Granollers,"2.9625110119828397,2.9625110119828397,2.962511011989498,2.9625110318043686,2.962515063276197,2.96270183189757,2.9660629951995863,2.9973520935045626,3.176346644670109,3.879918637734396,5.93019791955391,10.60319127018957,19.259209609733116,32.65332473637621,50.297929345552646,70.31300816918485,89.92773402419687,106.40449422784697,117.93253544984715,124.10189347092707,125.82359981018513,124.82498151461954,122.98716221013937,121.78115394815933,121.95360181742515,123.48828398352266,125.77801657929405,127.90228885207335,128.91113443061343,128.0463833817525,124.86885051696815,119.29162407687669,111.53982316412171,102.06567370433356,91.44714153358201,80.29227329228286,69.16316788016964,58.5255782037577,48.723936488925624,39.97762317217278,32.39244368972021,25.981071090118128,20.687067699511243,16.408469065582516,13.018377267249473,10.381299304296988,8.364948258856913,6.847872573105","3.5795377202349106,3.579537806862905,3.5795518406763724,3.5797842886616054,3.5812629508615466,3.586851210511949,3.6021188267456568,3.6355611821281566,3.697968280862856,3.801077719520178,3.9558515550194926,4.170768722812703,4.450460372734809,4.794891532956097,5.199157902870328,5.653853433243112,6.1458877709139905,6.659594768564364,7.177968305750532,7.683880278268415,8.161167945794242,8.595515380553906,8.97509018881799,9.290927923386628,9.537080618487956,9.710562157971165,9.81113228885226,9.840964184508588,9.804238976914602,9.706706058618373,9.555241498708378,9.357429687682702,9.121186129375046,8.854432689098505,8.564830922072558,8.259574503774616,7.945238289471266,7.627679076797426,7.311981608581851,7.002442579774655,6.702585240887604,6.415197465988415,6.14238673701696,5.885646269815702,5.645927375114205,5.423714036133191,5.219096539942522,5.031841786083712","4.823977060014901,4.823977060014901,4.8239770600149035,4.823977060028685,4.823977065753261,4.823977865381945,4.824026368222293,4.825337726929239,4.843220876999313,4.983324164689192,5.682476711513142,8.08353415231242,14.092786077249016,25.52257633584779,42.538148708605824,62.72436627273724,81.90728783585942,96.31720083720867,104.46870547271168,107.49630736876783,108.02054936357382,108.56206689011513,110.4745099906216,113.73491736766987,117.36440471105011,120.05744060127269,120.69903736414122,118.64197281393945,113.76129393234862,106.36523158329095,97.04384692818293,86.51349063532761,75.48904549966372,64.59605258794602,54.322440791166876,45.00310235736733,36.82806703481836,29.865017200132858,24.088272436871268,19.40837885078774,15.698524492910524,12.815826432982021,10.616927959936461,8.968270043163573,7.75191103481251,6.867958006357933,6.23464738722964,5.786965329680248","5.8076923076923075,5.730769230769231,5.730769230769231,5.730769230769231,5.730769230769231,5.730769230769231,5.730769230769231,5.730769230769231,5.730769230769231,6.269230769230769,6.769230769230769,7.8076923076923075,11.884615384615385,25.807692307692307,50.0,76.57692307692308,96.1923076923077,107.8076923076923,116.84615384615384,119.8076923076923,121.42307692307692,122.65384615384616,123.42307692307692,124.6923076923077,125.96153846153847,126.6923076923077,127.61538461538461,127.76923076923077,126.46153846153847,124.96153846153847,123.23076923076923,116.92307692307692,104.5,99.03846153846153,94.88461538461539,89.53846153846153,75.73076923076923,64.5,53.07692307692308,41.30769230769231,27.923076923076923,19.73076923076923,13.923076923076923,10.0,7.730769230769231,6.615384615384615,6.115384615384615,5.846153846153846","4.076923076923077,3.6923076923076925,3.6153846153846154,3.6153846153846154,3.6153846153846154,3.6153846153846154,3.6153846153846154,3.6153846153846154,3.5384615384615383,3.6153846153846154,3.6923076923076925,3.8461538461538463,4.076923076923077,4.461538461538462,5.461538461538462,5.769230769230769,6.3076923076923075,6.846153846153846,7.3076923076923075,7.769230769230769,8.153846153846153,8.615384615384615,8.923076923076923,9.076923076923077,9.23076923076923,9.615384615384615,10.153846153846153,10.153846153846153,10.0,9.76923076923077,9.538461538461538,8.923076923076923,8.692307692307692,8.461538461538462,8.615384615384615,8.615384615384615,8.461538461538462,8.0,7.461538461538462,6.6923076923076925,6.3076923076923075,6.0,6.0,6.0,5.846153846153846,5.461538461538462,5.384615384615385,5.3076923076923075","6.0,5.833333333333333,5.833333333333333,5.833333333333333,5.666666666666667,5.666666666666667,5.833333333333333,5.833333333333333,5.833333333333333,6.5,7.0,8.166666666666666,12.333333333333334,18.666666666666668,43.666666666666664,66.66666666666667,85.0,95.0,102.0,104.66666666666667,106.5,113.0,113.83333333333333,115.16666666666667,116.0,116.16666666666667,117.33333333333333,117.33333333333333,115.0,110.66666666666667,102.16666666666667,89.0,70.0,59.166666666666664,52.833333333333336,46.833333333333336,37.333333333333336,30.833333333333332,26.333333333333332,22.666666666666668,16.0,11.666666666666666,9.333333333333334,7.5,5.833333333333333,4.5,4.0,3.8333333333333335"
Vilanova,"61.37577505554048,61.375775055540494,61.37577505780384,61.375777049214406,61.37595491554646,61.38038528779843,61.428986199416144,61.72975904514304,62.949202121518375,66.51743345840957,74.56461491927553,89.21028091191154,111.43579353533312,140.21681243833655,172.51816569427984,204.2140830446087,231.44759678636683,251.76547058005468,264.589685285392,270.97902357591937,272.93836341289443,272.6313300715651,271.7740795801374,271.33395531854,271.51737017495316,271.9516355894338,271.94746826129807,270.7513221402161,267.7345519686749,262.5017772098024,254.92523969133097,245.12428679249638,233.41205483122178,220.22871293547763,206.07547393967045,191.45813628360042,176.84432386552447,162.6352431167886,149.15065474543786,136.62464126765033,125.2093663588811,114.9841138920344,105.96725831899788,98.12930344096924,91.40563210222534,85.70807275393784,80.93477748683601,76.97820812371255","50.93000917703427,50.93001619093188,50.93045579401095,50.93464032063621,50.95285077238795,51.00498736238792,51.12024611833902,51.33409083381828,51.683622280247825,52.20257037283302,52.91689235707614,53.8415908812965,54.97900811776958,56.318570415107025,57.83777084818963,59.50407781759075,61.27742854160321,63.11298595243121,64.96388684286973,66.78377245895977,68.52895863736795,70.16016348534254,71.64376217246748,72.95257878161156,74.06625420726756,74.9712477439874,75.66053983076273,76.13310620753619,76.39323129412203,76.44972256123424,76.31507943213042,76.00466096613177,75.53588709895155,74.92749917157084,74.19889728076487,73.36956486918126,72.45858504539093,71.48424838909162,70.46374838863642,69.41295806777426,68.34627965178234,67.27655815635273,66.2150494133493,65.1714331423644,64.15386211576306,63.16903914333729,62.22231443317993,61.31779679660332","62.60326010898944,62.60326010901335,62.6032602331862,62.60327502668672,62.60364347446427,62.607509507083066,62.631533346814216,62.742805095378934,63.1876213717136,64.7418800908723,69.2129525414579,79.40319071943537,97.72821966348653,124.02351694765744,154.53452546189843,183.42015697424478,205.76663873966112,219.80438391839544,226.9757732549681,230.3385972943674,232.71087378164202,235.6027348250885,239.12532744705916,242.49237227174902,244.6388145184923,244.66930227032918,242.06617162312344,236.71165329756036,228.81048931759736,218.78088573708854,207.1519814620441,194.4830193396874,181.30659017463336,168.09294394161523,155.23092941559474,143.02128829189917,131.67865005246054,121.33923440944149,112.07187105272017,103.89048785114751,96.76670421650687,90.64159311821022,85.43603590760951,81.05938336963284,77.41635422363687,74.41225401015214,71.95669219555084,69.96602463404272","66.18518518518519,64.74074074074075,62.55555555555556,62.18518518518518,62.03703703703704,62.111111111111114,62.0,62.03703703703704,62.81481481481482,74.74074074074075,78.48148148148148,85.66666666666667,99.48148148148148,134.4814814814815,182.2962962962963,208.0,235.33333333333334,252.92592592592592,260.4074074074074,266.037037037037,269.8888888888889,272.3703703703704,272.14814814814815,273.4074074074074,275.2962962962963,275.3333333333333,276.2962962962963,273.6666666666667,266.48148148148147,259.81481481481484,247.92592592592592,237.07407407407408,224.2962962962963,213.14814814814815,207.8148148148148,201.44444444444446,191.0,177.22222222222223,156.14814814814815,138.59259259259258,121.11111111111111,109.70370370370371,98.0,91.77777777777777,87.4074074074074,80.48148148148148,77.37037037037037,72.96296296296296","56.5,53.9375,51.3125,50.5,49.8125,49.625,49.625,49.5625,49.25,51.8125,53.0,53.4375,55.6875,57.8125,59.0,59.6875,61.3125,62.9375,63.75,65.0625,67.4375,70.1875,72.25,74.0625,76.125,77.5625,77.6875,77.125,77.0,74.4375,72.6875,71.6875,72.125,72.625,72.5625,72.75,72.75,74.25,74.75,73.9375,73.0625,70.75,67.75,65.8125,63.6875,60.5625,58.25,55.0625","65.66666666666667,63.5,61.0,60.0,59.833333333333336,59.833333333333336,59.5,59.5,60.333333333333336,70.5,74.5,81.0,92.16666666666667,125.0,158.0,180.83333333333334,205.66666666666666,220.0,226.16666666666666,230.83333333333334,234.66666666666666,237.83333333333334,237.0,240.0,241.5,241.83333333333334,241.33333333333334,238.33333333333334,233.83333333333334,227.5,214.33333333333334,195.16666666666666,177.66666666666666,157.83333333333334,146.16666666666666,137.33333333333334,129.0,122.33333333333333,116.33333333333333,109.0,98.5,94.83333333333333,89.33333333333333,84.33333333333333,79.16666666666667,74.66666666666667,71.0,67.0"
Santboi,"174.4906763615316,174.49067636153174,174.49067636893412,174.4906794017262,174.49084752621954,174.49392010097603,174.52154876259087,174.67335327895412,175.25401480686088,176.9361374822425,180.84374830535796,188.42124452547725,201.04611933464784,219.49911256583272,243.51285411430706,271.60701984877466,301.29793472531634,329.6178148406291,353.7701991956603,371.7207908694961,374.0,374.0,374.0,374.0,374.0,368.4908712826572,364.6465925282697,363.15578524580184,363.8088606554328,365.8070360540194,368.0017687597498,369.16084497953887,368.2060050994667,364.38337191218477,357.3489119429245,347.17112401001594,334.26803559718434,319.3034815417327,303.06870678120737,286.3712138365172,269.9457642093261,254.39476610898217,240.15861020490803,227.5117791581455,216.5779917768518,207.3569833526622,199.7562365198304,193.6224652657594","234.18065645326686,234.1806564539802,234.18065687289467,234.1806719785197,234.1808415226838,234.18184251893672,234.18578984554216,234.19760196331808,234.22653353762647,234.28740688265145,234.4010836968922,234.5938840337515,234.89590398691465,235.3384238066222,235.95077333269435,236.75710344402438,237.77350151560185,239.00580597138048,240.44834911095404,242.0837178580933,243.88349295882526,245.8098245617304,247.81763401052524,249.8571991156858,251.8768791964998,253.8257598858115,255.65603798545482,257.3250156643856,258.79662420748923,260.0424451141979,261.04223706567785,261.7840091629727,262.2637032525986,262.4845614813756,262.4562605293082,262.19389272459375,261.7168680682189,261.0478016772169,260.21143973090926,259.23366488048737,258.14061020620653,256.9578998648043,255.71002500942035,254.4198556262524,253.10828269119435,251.79398045487855,250.49327557726482,249.22010805999793","183.45373884478852,183.45373908479797,183.4537896356972,183.4547884670342,183.46216006156678,183.4947890759848,183.60494490153826,183.92762032725165,184.7810363984979,186.79777967453103,190.9902729354644,198.6269336111456,210.8787198489825,228.34640102090233,250.68166232065187,276.49112991812314,303.58063852283885,329.44497350228505,351.8192999752056,369.11280014880356,374.0,374.0,374.0,374.0,374.0,373.7513057625473,367.23050387254915,360.97956540021966,355.30775067866205,350.29486971884285,345.86189119135116,341.8396231840014,338.02543521686727,334.2240392570307,330.27256572887376,326.05253428283856,321.49221245555634,316.5627843938662,311.2711733734157,305.6516108258793,299.7573258788422,293.6531422924304,287.40934195338497,281.0968731429153,274.78381747901074,268.53294834253524,262.400186440173,256.43376247935396","182.47368421052633,179.21052631578948,178.57894736842104,178.26315789473685,178.0,177.6315789473684,177.47368421052633,177.0,177.42105263157896,179.94736842105263,182.1578947368421,184.57894736842104,195.10526315789474,212.94736842105263,237.25,261.2,304.75,347.35,370.3,374.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,373.9,373.4,371.9,366.95,359.55,350.5,348.05,349.45,349.15,345.6,334.95,317.3,293.95,274.75,253.8,236.8,223.8,202.5,194.55,189.85,186.8","276.3,274.2,272.5,266.8,256.9,246.7,228.9,216.6,213.6,213.1,213.2,214.0,214.8,213.8,214.3,216.4,218.9,222.1,230.4,238.2,243.6,249.4,257.1,265.7,272.2,277.0,276.2,271.8,264.3,252.2,245.9,238.2,239.1,241.5,248.1,255.3,263.1,268.6,273.2,272.3,269.2,265.2,262.1,256.8,252.5,250.7,246.1,243.3","190.25,186.75,185.25,184.5,184.5,184.5,184.0,184.25,184.75,188.25,190.75,192.25,203.75,218.25,243.5,262.5,310.0,350.25,369.5,374.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,374.0,369.0,352.25,335.75,322.0,318.25,317.75,318.5,321.5,323.5,318.5,309.5,300.0,292.25,288.0,284.25,272.5,266.5,263.0,261.5"
Sant Sadurni,"28.96621580895562,28.966215808955702,28.966215816070964,28.966219567692978,28.966459411528156,28.971216534351427,29.015826647477343,29.26419855115448,30.205893834258397,32.86234151363878,38.78207920610967,49.64897769284234,66.57813318976343,89.43567434299979,116.56630929775017,145.1072661797223,171.76403470018084,193.7166200516764,209.30911042932365,218.31550907389453,221.7676404903828,221.48103784799753,219.47680124943832,217.47718865879796,216.58434997997858,217.17317876346044,218.96744690875516,221.23444349688896,223.0261064819924,223.40623175567828,221.62422801959616,217.21805394603808,210.0472677625832,200.26922270205338,188.27720807688578,174.61992872209774,159.9188459943461,144.79528070544492,129.81419107093578,115.44712758802547,102.0535304186316,89.87741312118318,79.0554635585775,69.63244801444617,61.5802431488253,54.817575456506766,49.22840502950532,44.67770049594496","20.185014121846105,20.185014121917845,20.185014251514314,20.1850229203858,20.185169848993233,20.186333973366843,20.19203529897178,20.21209770211506,20.26758600317551,20.395355178670105,20.650023219781726,21.101653935426935,21.82868485668887,22.907092806670924,24.39789800096171,26.33554514732197,28.719436139320504,31.51011201447966,34.630578261963954,37.97231163902394,41.40477208316656,44.78686000493105,47.978704370079114,50.852374104905,53.30047776430655,55.24205523967875,56.62558840770424,57.42930870419589,57.659229380675825,57.34547254095807,56.53750654652154,55.298878425398,53.701942711262404,51.82297614912035,49.737946834054256,47.51909156141849,45.232356243362304,42.935676306368066,40.67801840500137,38.49907026427023,36.42944902324106,34.491296307772444,32.69913645983141,31.060889227303562,29.578946649540867,28.251243399982542,27.07226867967188,26.033984718505238","43.16524421297758,43.16524421297758,43.16524421306267,43.165244363950386,43.16526583636528,43.16602416273472,43.177004734570545,43.262390770226844,43.681880693526004,45.12843565526581,48.889529243494266,56.64333182613015,69.78338270479058,88.56812961468968,111.63604981925448,136.2540099320368,159.2118170702691,177.90139907443148,191.06776290388393,198.9587816078187,202.9258176708226,204.74442982673781,205.96273689834868,207.48709832574002,209.46973048335275,211.44472499688698,212.6005211019837,212.07473440501258,209.18950649508923,203.58847716585257,195.2734825794553,184.5626353891546,172.00108418839653,158.25485249249482,144.01121129679294,129.89998884713827,116.44177405898304,104.0225478533268,92.89028941622735,83.16731671264758,74.87198318000888,67.94424448003892,62.27098448007222,57.708443776674784,54.100374961131706,51.29153523364556,49.136793301313745,47.50650735079585","33.46153846153846,32.88461538461539,32.80769230769231,32.73076923076923,32.69230769230769,32.80769230769231,32.80769230769231,32.65384615384615,32.65384615384615,32.65384615384615,32.80769230769231,38.96153846153846,55.46153846153846,86.1923076923077,120.76923076923077,157.96153846153845,179.65384615384616,193.57692307692307,204.65384615384616,211.3846153846154,215.46153846153845,218.69230769230768,220.26923076923077,221.26923076923077,221.92307692307693,222.03846153846155,222.76923076923077,222.80769230769232,221.69230769230768,220.65384615384616,218.30769230769232,212.5,200.65384615384616,191.46153846153845,188.1153846153846,181.69230769230768,171.46153846153845,157.07692307692307,137.19230769230768,117.84615384615384,100.6923076923077,86.8076923076923,73.61538461538461,64.23076923076923,53.38461538461539,48.0,45.38461538461539,42.34615384615385","22.6875,22.0625,21.8125,21.5625,21.0625,21.0,20.9375,20.625,20.5625,20.375,20.375,20.25,20.3125,22.375,23.4375,25.4375,28.4375,32.1875,35.0625,38.6875,42.6875,45.3125,48.5625,51.5,54.1875,56.0,57.25,56.25,55.4375,54.3125,53.4375,53.0,53.3125,51.0625,51.0625,49.375,48.625,46.875,45.4375,42.375,39.0,35.1875,31.5,27.8125,25.25,25.0625,22.1875,21.125","48.333333333333336,47.833333333333336,47.666666666666664,47.666666666666664,47.5,47.5,47.666666666666664,47.5,47.5,47.666666666666664,48.0,54.166666666666664,69.5,89.33333333333333,103.16666666666667,141.33333333333334,164.66666666666666,179.33333333333334,189.83333333333334,195.0,200.66666666666666,203.66666666666666,207.0,209.66666666666666,211.66666666666666,212.66666666666666,213.16666666666666,211.16666666666666,208.0,203.33333333333334,197.5,183.83333333333334,167.83333333333334,149.83333333333334,141.5,131.5,120.0,112.66666666666667,102.33333333333333,90.16666666666667,80.0,68.5,59.0,52.0,44.333333333333336,38.5,35.333333333333336,31.0"
Quatre camins,"10.347348165195418,10.347348165195418,10.347348165204732,10.34734819072555,10.347353140768837,10.347575938980455,10.351519038762927,10.387930665371096,10.595921994292107,11.416561985928256,13.827495855952158,19.388005210596774,29.84513164665811,46.321668704213224,68.48160588032215,94.20154179972971,120.0230085269314,142.21234144807278,157.93572939829005,158.0,158.0,158.0,157.74951257496826,152.27278538956128,148.9032457257269,148.39310946497196,150.52900808064615,154.38102274601803,158.0,158.0,158.0,158.0,157.22182563211808,149.70735782297112,139.6714953804037,127.75381099834765,114.6832852994309,101.17893889190879,87.87663351921661,75.28471930308318,63.76606456217352,53.54096953391302,44.70430272910876,37.250435834420195,31.100651160364315,26.129170674605056,22.185443231326698,19.11159908506305","20.933678001594174,20.933678002254346,20.933678449005303,20.933695567414926,20.93389285422045,20.935065028790465,20.939655052430837,20.953165172602557,20.985479674840914,21.051497684930332,21.170636733256455,21.365106895185246,21.657212608075145,22.06618993316137,22.605175663045532,23.278840037782828,24.082045233912655,24.99967825232538,26.007603256419685,27.074521278318187,28.164431380827093,29.239357127208535,30.262024692464927,31.198237737752745,32.01877194082425,32.70069371181844,33.228081840055296,33.592190592905716,33.79113498734459,33.82920350926354,33.71591249233641,33.46491289142018,33.09284791864068,32.6182424448176,32.060485216284576,31.438945155815404,30.772244970888558,30.077700003334158,29.370918199544974,28.665548319635487,27.973157803607087,27.303218658075703,26.663178815182278,26.058597124281356,25.49332197567095,24.969696093369986,24.488772915869962,24.05053293455636","10.274737683855653,10.274737683863549,10.274737729966834,10.274743662886477,10.27490077881551,10.276631265715254,10.287545896374867,10.334426219725357,10.487135476833394,10.899788779546583,11.932290640912733,14.55543965951645,21.08045990540659,35.1896027597806,59.62245512564859,92.38791346727797,125.77985063002481,150.6368641746094,158.0,158.0,158.0,153.946668793253,152.82087049848923,154.70970322772587,158.0,158.0,158.0,158.0,158.0,153.08424017341295,145.72334614567637,136.87846244014233,126.99572496006363,116.50302063618132,105.78547013977543,95.17131091032752,84.92547814357361,75.2489807209584,66.28248943294759,58.112744561979774,50.78058215822798,44.28959808447933,38.61470172689612,33.710035643429265,29.51593642863972,25.964776040457643,22.985648577324067,20.507956562032273","14.346153846153847,14.038461538461538,13.884615384615385,13.923076923076923,13.923076923076923,13.923076923076923,13.923076923076923,13.961538461538462,13.923076923076923,14.076923076923077,15.653846153846153,17.692307692307693,20.884615384615383,29.615384615384617,59.92307692307692,99.73076923076923,139.23076923076923,153.1153846153846,156.0,156.30769230769232,156.6153846153846,156.76923076923077,156.92307692307693,156.8846153846154,156.57692307692307,156.46153846153845,156.46153846153845,156.53846153846155,156.3846153846154,156.1153846153846,155.0,153.73076923076923,149.65384615384616,145.65384615384616,144.0,141.23076923076923,127.8076923076923,111.3076923076923,89.57692307692308,73.46153846153847,59.73076923076923,47.61538461538461,38.23076923076923,30.846153846153847,25.115384615384617,22.0,17.76923076923077,16.46153846153846","22.571428571428573,21.785714285714285,21.357142857142858,21.428571428571427,21.285714285714285,21.071428571428573,21.0,21.071428571428573,21.0,20.857142857142858,21.285714285714285,21.642857142857142,21.5,21.785714285714285,22.214285714285715,22.714285714285715,23.214285714285715,24.214285714285715,25.785714285714285,27.428571428571427,28.785714285714285,30.5,32.07142857142857,31.428571428571427,32.5,33.642857142857146,33.857142857142854,33.214285714285715,32.5,31.357142857142858,31.214285714285715,31.428571428571427,31.571428571428573,31.571428571428573,32.857142857142854,33.07142857142857,33.07142857142857,32.214285714285715,31.714285714285715,31.5,29.857142857142858,28.571428571428573,27.214285714285715,25.571428571428573,23.857142857142858,22.285714285714285,21.428571428571427,20.071428571428573","12.166666666666666,11.5,11.333333333333334,11.333333333333334,11.5,11.5,11.333333333333334,11.333333333333334,11.5,11.666666666666666,13.333333333333334,15.166666666666666,18.166666666666668,27.333333333333332,57.166666666666664,93.16666666666667,133.5,152.0,157.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,157.16666666666666,152.16666666666666,139.66666666666666,118.16666666666667,109.0,102.66666666666667,98.0,89.0,81.0,70.83333333333333,62.166666666666664,51.666666666666664,44.666666666666664,37.166666666666664,29.333333333333332,25.166666666666668,22.5,20.833333333333332,19.5"
Mollet,"14.836270780076196,14.836270780076196,14.83627078012971,14.8362708991808,14.836290626367033,14.837069879807485,14.849373976212942,14.951865064450967,15.484120259387524,17.404165454516242,22.58238551551306,33.575360383035985,52.63194442749017,80.3128810900483,114.58196348790281,151.05062206709502,184.34970712818824,209.9354859893238,225.46735382196235,231.232999969109,229.6261980442907,224.07086557861857,217.8892327347712,213.4835898707072,211.979822505468,213.28906276367044,216.43893412041893,220.00691080405454,222.52408582583575,222.77338747146786,219.95766316711502,213.74881734340875,204.24785857156246,191.89084769191518,177.33232778982793,161.3302672333821,144.64798376265426,127.98079495546052,111.9091326107886,96.87578775520068,83.18265795436854,71.00149846573227,60.39332184531008,51.331855153829444,43.727522995987115,37.449535220439294,32.3446617031189,28.25208837818202","35.62400486152718,35.62400545095713,35.62408015295217,35.6251646660112,35.63151935561262,35.65429628010758,35.714448894892236,35.84352800815538,36.08186811810713,36.47455712370081,37.06610881056264,37.89490339948663,38.98832862541844,40.35927027468152,42.004275320389,43.903416286733126,46.02166146940263,48.3114145723346,50.715823909510775,53.17246064673719,55.61700915937766,57.986682467501225,60.223156622140976,62.274898282164415,64.09883173344657,65.66135079275526,66.93872561356359,67.91698452525517,68.59136812452422,68.96545904731188,69.05008861164784,68.86211323907769,68.42314141149215,67.75827774150656,66.894935989207,65.86175863161588,64.68766762696326,63.40105976465644,62.02915066840994,60.59746415876985,59.12945818768647,57.64627475256437,56.16659885252042,54.706610417282356,53.28001297166764,51.89812336324166,50.570007968931364,49.30265222832194","6.0589124443282465,6.058912673579432,6.058990841978243,6.060981118358538,6.078035551450572,6.158412689755632,6.418845744906095,7.0724426873149815,8.441553046860491,10.996702664862674,15.58240229999729,23.947395616875927,39.02117366704254,63.67630957627425,97.8749795007896,136.6850883010534,171.87255493153043,196.3654034490745,207.92146067562447,209.33122703997464,205.77365446930187,201.80673314316812,199.80822274987258,200.04406769937586,201.56063007468313,203.08893725836967,203.58725269048313,202.42256286760576,199.33933902428242,194.35307428975784,187.6448764522796,179.48297982852807,170.17148193395778,160.01883185455767,149.31887739126245,138.33962443997012,127.31688893375124,116.4512596638432,105.90742659407621,95.8152306713594,86.27193932183212,77.34534080347572,69.07732012205364,61.487642535119825,54.577730210877704,48.33427239557537,42.73255801456568,37.73946100327867","21.076923076923077,20.076923076923077,19.923076923076923,19.73076923076923,19.615384615384617,19.576923076923077,19.576923076923077,19.576923076923077,19.692307692307693,20.884615384615383,23.692307692307693,28.923076923076923,37.53846153846154,65.3076923076923,114.3076923076923,164.46153846153845,201.65384615384616,214.92307692307693,218.3846153846154,218.34615384615384,219.76923076923077,220.84615384615384,220.84615384615384,220.6153846153846,220.57692307692307,220.96153846153845,221.07692307692307,220.73076923076923,219.3846153846154,216.69230769230768,211.53846153846155,203.46153846153845,190.96153846153845,185.5,182.07692307692307,175.84615384615384,164.73076923076923,144.19230769230768,117.96153846153847,98.84615384615384,80.34615384615384,65.38461538461539,52.15384615384615,40.92307692307692,32.07692307692308,26.346153846153847,24.0,22.0","38.4375,36.9375,36.9375,36.5625,36.3125,36.1875,36.0,35.6875,35.4375,35.4375,35.875,36.75,36.875,38.25,41.4375,43.5625,47.3125,49.625,53.1875,55.5625,57.625,59.4375,61.5625,62.875,64.5625,66.125,65.875,65.3125,65.0625,64.0,63.5625,64.0,65.125,67.5,69.125,70.0,70.3125,70.1875,68.9375,66.9375,63.0,59.375,55.25,52.1875,48.6875,46.875,45.5625,43.4375","8.833333333333334,8.166666666666666,8.0,8.0,7.666666666666667,7.666666666666667,7.666666666666667,7.666666666666667,7.833333333333333,8.666666666666666,10.166666666666666,13.5,20.5,59.5,103.83333333333333,142.16666666666666,175.5,194.83333333333334,203.33333333333334,204.66666666666666,204.5,205.16666666666666,205.0,205.0,205.0,204.66666666666666,203.16666666666666,202.66666666666666,202.83333333333334,200.66666666666666,189.83333333333334,176.5,154.5,144.83333333333334,140.83333333333334,136.83333333333334,127.66666666666667,119.16666666666667,111.5,103.5,88.5,80.66666666666667,71.83333333333333,62.666666666666664,54.166666666666664,49.666666666666664,46.333333333333336,45.666666666666664"
